,protein,mol_id,label
17175,CHEMBL313,578285,1
919,CHEMBL1293238,770710,1
40569,CHEMBL1293231,931089,1
29355,CHEMBL3833,1989395,1
35462,CHEMBL5011,1819427,0
21302,CHEMBL3223,381072,0
5084,CHEMBL2564,626556,1
1475,CHEMBL1293238,904462,1
28351,CHEMBL3602,166300,0
39826,CHEMBL1293231,803620,1
5103,CHEMBL2564,633469,1
13551,CHEMBL302,312337,1
10332,CHEMBL273,2054034,1
28711,CHEMBL3762,1799450,1
16880,CHEMBL313,390882,1
15212,CHEMBL3067,1963968,1
7063,CHEMBL269,345787,1
2545,CHEMBL1293238,981743,0
37984,CHEMBL6140,1998250,1
34680,CHEMBL4980,564163,1
37516,CHEMBL6140,1746997,1
48084,CHEMBL3740,1959076,0
48270,CHEMBL3802,1999752,1
26754,CHEMBL3508,432329,1
493,CHEMBL1075232,2025025,1
19937,CHEMBL3199,1510335,0
16115,CHEMBL311,369992,0
32834,CHEMBL4556,1061309,0
13395,CHEMBL302,261373,1
14016,CHEMBL302,2051920,0
15589,CHEMBL3072,1973547,1
42330,CHEMBL1293231,731600,0
20642,CHEMBL322,1425337,1
45457,CHEMBL2814,460500,1
44287,CHEMBL2207,1987519,1
36051,CHEMBL5102,359399,0
35079,CHEMBL4980,1265021,0
19209,CHEMBL318,705662,0
47572,CHEMBL3464,1746983,0
13337,CHEMBL302,53239,1
33092,CHEMBL4631,156494,0
4447,CHEMBL2470,510538,1
10253,CHEMBL273,1825188,1
13070,CHEMBL2993,1561845,1
20692,CHEMBL322,1797667,1
52540,CHEMBL5353,1514209,1
2202,CHEMBL1293238,833947,0
52392,CHEMBL5343,602555,1
16762,CHEMBL313,317087,1
9123,CHEMBL270,346327,0
49804,CHEMBL4321,63138,1
16674,CHEMBL313,303787,1
11688,CHEMBL285,570163,1
12368,CHEMBL2851,44510,0
37745,CHEMBL6140,1993526,1
16184,CHEMBL3114,1438477,1
16876,CHEMBL313,360905,1
30742,CHEMBL4124,500825,1
8111,CHEMBL270,356641,1
27053,CHEMBL3571,473589,1
2673,CHEMBL1293238,732246,0
36712,CHEMBL5424,1524297,1
