,protein,mol_id,label
29694,CHEMBL2383,235348,0
78609,CHEMBL276,730189,0
22066,CHEMBL273,36600,1
103479,CHEMBL1293238,983117,1
101396,CHEMBL3602,243404,0
73076,CHEMBL2564,1587143,1
56330,CHEMBL5508,1164173,0
78175,CHEMBL2470,582410,1
2320,CHEMBL2993,148073,1
64631,CHEMBL270,1705897,0
20073,CHEMBL338,188838,1
35906,CHEMBL2993,69451,0
58942,CHEMBL3229,604335,0
38663,CHEMBL273,678044,1
99372,CHEMBL5102,418457,1
82433,CHEMBL3571,561303,0
46347,CHEMBL309,72180,1
103706,CHEMBL313,409182,1
47062,CHEMBL3602,2537,1
100592,CHEMBL2331070,1522666,0
78425,CHEMBL270,2092452,1
73482,CHEMBL276,795362,0
58910,CHEMBL1293231,1033923,0
80782,CHEMBL339,222953,1
61488,CHEMBL2871,174604,1
99187,CHEMBL4124,438527,1
92048,CHEMBL302,373095,1
98896,CHEMBL1293231,788293,1
91875,CHEMBL1293231,1701450,0
88898,CHEMBL302,309293,0
44736,CHEMBL312,82726,1
7610,CHEMBL304,22434,0
73257,CHEMBL326,87971,1
101972,CHEMBL2480,413826,1
99953,CHEMBL270,356219,1
71962,CHEMBL4980,2062289,0
76022,CHEMBL318,1385724,0
48418,CHEMBL313,62659,0
83246,CHEMBL1293238,811937,0
93905,CHEMBL2564,707751,0
68904,CHEMBL3341584,1794509,1
67870,CHEMBL1293238,931722,1
12065,CHEMBL5373,197486,1
10228,CHEMBL338,251998,1
97913,CHEMBL2128,484248,0
94441,CHEMBL2363,46381,0
62786,CHEMBL315,361868,1
80102,CHEMBL4336,604072,1
62813,CHEMBL2878,1154227,1
58927,CHEMBL5412,1950993,0
71800,CHEMBL2489,1270513,1
29091,CHEMBL3358,240094,0
32613,CHEMBL273,552781,1
28517,CHEMBL313,90367,1
96163,CHEMBL4477,374889,1
68034,CHEMBL3337,344824,1
554,CHEMBL3138,1151862,1
98706,CHEMBL3067,1963866,0
86642,CHEMBL5353,1612688,1
99228,CHEMBL2993,139099,0
60602,CHEMBL3815,470129,0
14374,CHEMBL257,153349,1
101717,CHEMBL1293231,983062,1
84166,CHEMBL2336,1366264,1
58203,CHEMBL5538,519751,1
29818,CHEMBL312,79584,0
98800,CHEMBL4124,259462,1
54489,CHEMBL3571,1427371,0
90339,CHEMBL2073709,1948473,1
13151,CHEMBL3766,195718,0
29492,CHEMBL3138,294322,1
28538,CHEMBL2993,178238,1
40251,CHEMBL3160,598,1
19987,CHEMBL339,184181,1
34200,CHEMBL312,144242,1
76800,CHEMBL1741203,1832770,0
49056,CHEMBL3118,1797945,0
22357,CHEMBL319,61302,1
43196,CHEMBL338,190878,1
95406,CHEMBL338,2028743,0
17068,CHEMBL2868,236069,1
8998,CHEMBL313,143387,1
32573,CHEMBL339,10689,1
25440,CHEMBL339,131644,1
25420,CHEMBL4566,249059,1
13437,CHEMBL4675,265772,0
73823,CHEMBL269,609861,1
67005,CHEMBL1293238,1029413,0
30353,CHEMBL4124,97868,1
66483,CHEMBL3360,606780,1
85987,CHEMBL2567,450730,1
89718,CHEMBL3066,417922,1
80902,CHEMBL338,372855,1
13662,CHEMBL3247,200854,1
7799,CHEMBL2868,140996,1
25345,CHEMBL4566,37619,0
16581,CHEMBL276,106511,0
63024,CHEMBL3910,1138592,1
97173,CHEMBL338,549593,0
45890,CHEMBL265,138063,0
48011,CHEMBL273,224249,0
11619,CHEMBL273,93006,0
77175,CHEMBL2567,450947,1
66732,CHEMBL1293231,841900,0
45995,CHEMBL273,65831,1
104963,CHEMBL5102,349270,0
36657,CHEMBL302,35696,1
76156,CHEMBL313,49627,1
56304,CHEMBL339,1620009,0
71848,CHEMBL3229,1620425,0
87523,CHEMBL269,609166,1
90935,CHEMBL339,424923,0
8870,CHEMBL313,195939,0
92727,CHEMBL3513,1387166,0
3408,CHEMBL322,138922,1
86887,CHEMBL3229,1558062,1
10989,CHEMBL3996,214494,1
80651,CHEMBL1293238,904694,0
13768,CHEMBL313,228098,1
28080,CHEMBL339,113658,1
24394,CHEMBL3066,192392,0
67914,CHEMBL4086,564786,0
79643,CHEMBL4132,627513,1
65927,CHEMBL309,27881,1
104541,CHEMBL3833,1989381,1
57412,CHEMBL5769,1732063,1
104180,CHEMBL311,370120,1
23464,CHEMBL318,114967,1
13999,CHEMBL3066,72743,1
49411,CHEMBL273,35952,1
42704,CHEMBL269,1544324,1
56485,CHEMBL302,406715,0
58761,CHEMBL312,294226,1
84265,CHEMBL1293238,921563,1
81798,CHEMBL3602,1178303,1
69899,CHEMBL1293231,953974,1
66897,CHEMBL3766,1547378,1
87522,CHEMBL1255149,708151,1
